Yield,Clusters,Long,Lat,Intercrop,Fert,Manure,Labour,Pest,Residue,Rotation,Fallow,Femhead,Mindis,Erosion,Hhsize,Headage,Meanedu,Educmax,Landsize,Nplots,FempltsF,TLU,CropD,LvstD,Ntreat,Ncrop,FertHa,Totincome,MaizeA,octEVI,novEVI,decEVI,janEVI,febEVI,marEVI,aprEVI,seasEVI,octprec,novprec,decprec,janprec,febprec,marprec,aprprec,seasprec,pdsi,lst,Maxtemp,Mintemp,Soilmoist,Silt,Sand,Clay,CEC,Orgcab,Soilbulk,DEM,MarketAccess,LivDens
340.8344727,3,34.58819116,-14.44088102,1,0,1,0,0,0,1,0,0,1,0,5,79,2,3,1.031970859,3,0,0,4,0,0,5,0,81.79014587,0.586795092,0.157700002,0.193650007,0.289600015,0.391550004,0.485399991,0.42930001,0.454149991,0.422600001,36,33,337,313,192,438,29,1378,3.900000095,39.52999115,30,20.70000076,1785.800049,17.6890728,21.50525339,15.42285173,24.24201562,21.50525339,136.5812179,557.8176881,17,884.6989749
345.946991,6,34.63085938,-14.64145279,0,0,0,0,0,1,1,0,1,1,1,3,32,6,6,1.456900001,2,0,0,4,0,0,6,0,53.59519196,1.01171568,0.139407116,0.165077647,0.190247861,0.39129483,0.428837344,0.399838132,0.343398933,0.344891024,39,42,334,319,220,511,35,1500,3.799999952,40.16123982,27.89999962,18.5,1657.800049,17.57206578,21.01263689,18.0403154,24.74760129,21.01263689,137.7602333,936.4014459,18,975.4282497
349.6768799,6,34.11878922,-14.18674285,0,0,1,0,0,1,0,0,0,1,0,5,39,5,5,0.505868077,2,0,0,3,0,0,2,0,2.859130383,0.21448373,0.185200006,0.129050002,0.274650007,0.495599985,0.528800011,0.441549987,0.381850004,0.378899992,35,50,331,243,208,305,72,1244,4.199999809,37.11998749,26.60000038,16.60000038,1164.900024,19.69522437,23.75693938,18.85521953,24.59232811,23.75693938,136.6786086,1180.367341,10,2534.158248
353.0071411,6,34.11865459,-14.1868392,1,0,1,0,0,1,1,0,1,0,1,2,81,4,8,0.700121403,3,0,0.07,6,1,0,10,0,12.905797,0.424920589,0.185200006,0.129050002,0.274650007,0.495599985,0.528800011,0.441549987,0.381850004,0.378899992,35,50,331,243,208,305,72,1244,4.199999809,37.11998749,26.60000038,16.60000038,1164.900024,19.41132031,23.9821716,18.69163404,24.56184842,23.9821716,137.6858995,1180.88854,10,2533.950964
353.0071716,3,34.59133455,-14.43683237,0,0,1,0,0,0,0,0,0,1,1,4,69,0,0,0.404694468,1,100,0.200000003,3,1,6,2,0,64.52898407,0.283280373,0.137099996,0.163100004,0.252000004,0.351000011,0.414600015,0.355349988,0.377350003,0.33039999,36,33,337,313,192,438,29,1378,3.900000095,39.52999115,30,20.70000076,1785.800049,23.42113743,20.45702261,18.73757262,24.05435849,20.45702261,136.9690416,552.4448147,17,897.5102259
353.0071716,6,34.52638504,-14.21137107,0,0,0,0,0,0,0,0,1,1,0,5,42,4,4,0.303520828,1,0,0.029999999,2,1,0,1,0,32.37170792,0.283280373,0.198100001,0.191300005,0.223800004,0.376549989,0.440899998,0.409350008,0.39410001,0.385800004,35,34,346,340,183,410,42,1390,4.300000191,42.58998871,30,20.89999962,1659.099976,26.24690689,23.73385431,17.60096411,24.68324272,23.73385431,139.0763202,514.0703821,17,1228.585667
360.3614807,6,34.52182049,-14.22263732,0,0,1,0,0,0,0,0,1,0,0,5,55,1.666666627,5,0.607041717,2,0,0,0,0,0,2,0,0,0,0.153500006,0.173250005,0.230900005,0.362500012,0.44659999,0.460150003,0.368800014,0.366299987,35,34,346,340,183,410,42,1390,4.300000191,40.31999969,30,20.89999962,1659.099976,17.56330616,19.67682076,16.23815393,21.68912381,19.67682076,141.9620351,522.4640376,17,1186.53662
366.0814819,6,34.6343956,-14.64014816,1,0,0,0,0,1,0,0,1,0,1,5,70,4,7,0.607041657,3,0,0,3,1,0,4,0,32.60679626,0.546326451,0.139899999,0.169,0.189649999,0.377249986,0.406199992,0.379599988,0.349849999,0.336800009,39,42,334,319,220,511,35,1500,3.799999952,39.1700058,27.89999962,18.5,1657.800049,17,21.22777666,19.33767279,24.86827007,21.22777666,138.2070533,949.512163,18,961.6988292
411.8416443,6,34.09645274,-14.20704322,1,0,1,0,0,0,1,0,0,1,1,2,23,7.5,8,1.011736155,3,0,0.02,5,2,0,5,0,21.3727951,0.121405885,0.124700002,0.131349996,0.137899995,0.264600009,0.47845,0.417549998,0.368000001,0.286199987,35,50,331,243,208,305,72,1244,4.199999809,37.2700119,26.60000038,16.60000038,1164.900024,29.12923703,24.4224569,28.85988368,27.21768295,24.4224569,136.4545963,1237.123806,10,2623.291699
411.8416748,1,34.74747189,-14.92925317,0,0,1,0,0,0,0,0,1,0,1,7,38,4,9,0.809388936,1,0,0,3,1,0,2,0,10.41120529,0.607029378,0.12512952,0.14570734,0.252075018,0.463448401,0.447717363,0.426680419,0.315228693,0.353325227,54,55,334,393,212,543,41,1632,4.300000191,35.40517176,27.79999924,18.60000038,1295.5,21.73132081,23.72403622,20.75471675,26.9655768,23.72403622,137.9185848,863.8024098,18,918.8730119
