Yield,Clusters,Long,Lat,Intercrop,Fert,Manure,Labour,Pest,Residue,Rotation,Fallow,Femhead,Mindis,Erosion,Hhsize,Headage,Meanedu,Educmax,Landsize,Nplots,FempltsF,TLU,CropD,LvstD,Ncrop,FertHa,Totincome,MaizeA,octEVI,novEVI,decEVI,janEVI,febEVI,marEVI,aprEVI,seasEVI,octprec,novprec,decprec,janprec,febprec,marprec,aprprec,seasprec,pdsi,lst,Maxtemp,Mintemp,Soilmoist,Silt,Sand,Clay,CEC,Orgcab,Soilbulk,DEM,MarketAccess,LivDens
494.2099915,6,34.63435364,-14.64144611,0,0,0,1,0,1,0,0,0,0,1,1,44,7,7,1.214083314,1,0,0,2,0,3,0,95.50140381,0.809388936,0.155689192,0.138791885,0.281711377,0.419995799,0.509635165,0.381739211,0.266231167,0.363853905,5,12,196,271,235,131,28,878,-1.720000029,32.36080951,27.10000038,18.89999962,1470.099976,17.00306503,21.32830805,17.84571851,23.46347303,21.32830805,137.908874,951.734166,18,969.3409468
494.2099915,6,34.63570667,-14.64089369,1,0,0,0,0,0,0,0,1,0,1,2,66,2,2,0.202347234,1,0,0,2,0,2,0,117.4873352,0.101173617,0.144500002,0.132699996,0.252499998,0.428900003,0.523649991,0.400700003,0.287099987,0.347499996,5,12,196,271,235,131,28,878,-1.720000029,32.34999847,27.10000038,18.89999962,1470.099976,16.98878419,22.16126973,18.07072231,25.1687183,22.16126973,139.0403939,951.7053792,18,963.798812
494.2099915,6,34.64094543,-14.6359005,1,0,0,0,0,1,0,1,1,0,1,2,38,3,3,0.404694468,1,100,0,3,0,3,0,24,0.202347234,0.146548014,0.128366379,0.278160323,0.402382962,0.52507419,0.403857284,0.304036219,0.368520259,5,12,196,271,235,131,28,878,-1.720000029,32.35907552,27.10000038,18.89999962,1470.099976,16.80376246,21.91028764,16.87342241,24.16348897,21.91028764,137.3766017,967.1321596,18.15871332,926.6572303
494.2099915,6,34.51855527,-14.22234722,0,0,0,0,0,0,0,0,1,0,0,2,82,2,2,0.101173617,1,100,0,1,0,1,0,17.32733345,0.101173617,0.170561091,0.219699994,0.271373857,0.384240025,0.496904358,0.407176529,0.351751753,0.335973892,0,10,205,273,237,127,43,895,-4.139999866,37.52999115,29.20000076,21.29999924,1410.800049,17.52881648,20.43401806,16.72457254,21.39245341,20.43401806,143.264003,520.452779,17,1159.985982
494.2099915,6,34.52350118,-14.22133492,0,0,0,0,0,0,0,0,0,1,1,4,37,0.5,1,0.101173617,1,0,0,1,0,1,0,83.52819061,0.101173617,0.148200005,0.140900001,0.184699997,0.249050006,0.453700006,0.315400004,0.337850004,0.278200001,0,10,205,273,237,127,43,895,-4.139999866,37.52999115,29.20000076,21.29999924,1410.800049,17.80536785,20.49188426,14.74843325,21.01706388,20.49188426,140.5397251,519.0249063,17,1199.335636
497.2221985,6,34.52015676,-14.2176432,1,0,0,0,0,1,0,0,1,0,1,2,22,4,4,0.720000029,1,100,0,2,0,2,0,25.91777802,0.360000014,0.160999998,0.145400003,0.196799994,0.350499988,0.45205,0.379449993,0.326649994,0.307900012,0,10,205,273,237,127,43,895,-4.139999866,37.52999115,29.20000076,21.29999924,1410.800049,18.54079047,20.03605838,16.73764399,23.2245851,20.03605838,140.7009567,518.8389503,17,1165.697963
514.802063,6,34.63405991,-14.62941265,1,0,0,0,0,0,1,1,1,0,0,4,53,6.666666508,9,0.809388936,2,100,0,4,0,4,0,30.93755341,0.121408343,0.142409959,0.127774023,0.257389675,0.383288601,0.509319174,0.358187449,0.308473295,0.341639978,5,12,196,271,235,131,28,878,-1.720000029,32.49999237,27.10000038,18.89999962,1470.099976,15.95626274,21.16119728,17.30544808,23.19105277,21.16119728,140.4675259,944.2527802,18,899.5529682
514.802063,6,34.07099154,-14.31393059,1,0,0,0,0,1,0,0,1,1,1,4,64,2.666666746,6,0.607041717,2,0,0,2,2,3,0,23.20000076,0.485633358,0.201499999,0.293099999,0.273099989,0.365949988,0.460900009,0.541499972,0.366250008,0.351099998,1,16,204,247,231,126,53,878,-3.380000114,32.34999847,25.60000038,17.10000038,967.2000122,15.73755296,24.07493411,22.38369631,24.48246045,24.07493411,134.890094,1258.663429,10,2582.189924
531.6052246,6,34.1133479,-14.19364654,1,0,1,0,0,1,0,0,1,0,0,5,52,2,4,0.202347234,1,100,0.300000012,6,2,6,0,96.18920898,0.09105625,0.177233837,0.192928076,0.241856781,0.373192375,0.493797793,0.478078803,0.362361547,0.346250847,0,15,199,248,226,125,48,861,-3.480000019,33.02999115,25.70000076,17.10000038,1015.099976,21.58382409,24.57330654,19.04342789,25.73591722,24.57330654,140.077951,1220.20742,10,2530.048254
576.5783691,6,34.63085938,-14.64145279,1,0,1,1,0,0,1,0,0,0,1,3,24,7,7,1.214083433,2,100,1.970000029,3,3,7,0,348.4457703,0.607041679,0.145646296,0.145896676,0.234785794,0.396545886,0.550037976,0.387580813,0.290581436,0.28145585,5,12,196,271,235,131,28,878,-1.720000029,32.43162295,27.10000038,18.89999962,1470.099976,17.57206578,21.01263689,18.0403154,24.74760129,21.01263689,137.7602333,936.4014459,18,975.4282497
